Id,Start,End,Values
4406aa,1,3,9.998779296875;51.54086872682733 9.9932861328125;51.57545703952595 9.979297534839526;51.6617431640625 
3c6604,1,4,10.11204769736842;49.21684135824947 10.247638408954327;49.137542724609375 10.383770282451922;49.052398681640625 10.526275634765625;48.96350408004502 
396662,1,6,7.572326660156251;42.71586789923199 7.668776401253634;42.617503020722985 7.770579944957386;42.5145263671875 7.868063283521076;42.41458181607521 7.96234130859375;42.3134765625 8.047613099563954;42.2149658203125 
3c4981,1,6,5.92327880859375;46.1962063029661 5.934333801269531;46.31845247947563 5.946006774902344;46.4433986857786 5.958366394042969;46.57248804124735 5.9704664276867385;46.69500732421875 5.982323623285062;46.82185363769531 
392ae6,1,6,2.998845027043269;49.37013244628906 2.943107203433388;49.26511602886652 2.887150691105769;49.15910339355469 2.8220778245192304;49.035003662109375 2.7660898061899037;48.928070068359375 2.7113101356907894;48.82235769498146 
400efc,3,5,-1.2838655359605013;54.70037841796875 -1.174038973721622;54.609312930349574 -1.0542835908777874;54.509765625 
3964ee,4,6,9.728041428786057;47.42309053065413 9.643390362079327;47.423416396318856 9.458031287560095;47.424114679886124 
4009d9,1,2,-0.695343017578125;51.47658008640095 -0.6827854465793735;51.47662353515625 
4008b2,1,5,2.618457691089527;49.6961431988215 2.4961976747255066;49.77369922702595 2.357723838404605;49.861083984375 2.2234304327713814;49.94512939453125 2.0855465450802364;50.03099344544491 
4008ae,1,5,-0.7198271880278639;51.37705993652344 -0.8008884739231235;51.393951416015625 -0.9055555188978133;51.40557861328125 -0.9653472900390625;51.439571057335804 -0.89813232421875;51.46504211425781 
3c4b28,1,5,7.643585205078125;50.70772332660222 7.7278425886824325;50.61359470173464 7.812435752467104;50.518524169921875 7.863909747149493;50.415049407441735 7.885581568667763;50.31385803222656 
4b1621,1,6,7.40863037109375;47.39923095703125 7.254890441894531;47.44061279296875 7.190622182992787;47.54850225933527 7.140357971191406;47.66322326660156 7.089683532714844;47.77803039550781 7.035827636718749;47.89964578919491 
3420cb,1,2,-3.470785451489803;41.593633102158364 -3.4334830350653647;41.71578617419227 
ab6c08,1,5,-1.5452122043918735;51.59019470214844 -1.71478271484375;51.63006281448622 -1.9005584716796875;51.67330984341896 -2.0894066063133447;51.717864990234375 -2.3316254486908785;51.784423828125 
400a9f,1,6,-1.9959019252231656;52.35241388870497 -1.9055001395089286;52.27364750231727 -1.8114100864955276;52.19115693690413 -1.701507568359375;52.093963623046875 -1.6383754185267776;52.01300152277542 -1.5756748744419156;51.92650746490995 
